"Date","VIXSIM"
"1992-02-27",9576.57
"1992-02-28",9675.17
"1992-03-02",9791.18
"1992-03-03",10011.6
"1992-03-04",10377.03
"1992-03-05",10713.46
"1992-03-06",11455.92
"1992-03-09",11415.31
"1992-03-10",10835.27
"1992-03-11",11479.12
"1992-03-12",11438.52
"1992-03-13",10643.85
"1992-03-16",10707.66
"1992-03-17",9738.98
"1992-03-18",9680.97
"1992-03-19",9582.37
"1992-03-20",9756.38
"1992-03-23",9704.18
"1992-03-24",9466.36
"1992-03-25",9390.95
"1992-03-26",9448.96
"1992-03-27",9292.34
"1992-03-30",9263.34
"1992-03-31",9385.15
"1992-04-01",9559.16
"1992-04-02",9895.59
"1992-04-03",9698.38
"1992-04-06",9698.38
"1992-04-07",10910.67
"1992-04-08",11687.94
"1992-04-09",10377.03
"1992-04-10",9773.78
"1992-04-13",9854.99
"1992-04-14",9269.14
"1992-04-15",8787.7
"1992-04-16",8613.69
"1992-04-20",9240.14
"1992-04-21",9588.17
"1992-04-22",9257.54
"1992-04-23",9182.13
"1992-04-24",9112.53
"1992-04-27",9564.97
"1992-04-28",9419.95
"1992-04-29",9251.74
"1992-04-30",9008.12
"1992-05-01",9634.57
"1992-05-04",9814.39
"1992-05-05",9663.57
"1992-05-06",9750.58
"1992-05-07",9593.97
"1992-05-08",9077.73
"1992-05-11",8799.3
"1992-05-12",9095.13
"1992-05-13",8810.9
"1992-05-14",8984.92
"1992-05-15",8596.29
"1992-05-18",8480.28
"1992-05-19",7871.23
"1992-05-20",7900.23
"1992-05-21",8074.25
"1992-05-22",7964.04
"1992-05-26",8654.29
"1992-05-27",8114.85
"1992-05-28",7987.24
"1992-05-29",8039.44
"1992-06-01",8370.07
"1992-06-02",8451.28
"1992-06-03",8323.67
"1992-06-04",7923.43
"1992-06-05",8497.68
"1992-06-08",8810.9
"1992-06-09",9263.34
"1992-06-10",9640.37
"1992-06-11",9448.96
"1992-06-12",8671.69
"1992-06-15",8561.48
"1992-06-16",8828.31
"1992-06-17",10487.24
"1992-06-18",10556.84
"1992-06-19",9460.56
"1992-06-22",9663.57
"1992-06-23",8428.07
"1992-06-24",8352.67
"1992-06-25",8352.67
"1992-06-26",8509.28
"1992-06-29",7662.41
"1992-06-30",7743.62
"1992-07-01",7737.82
"1992-07-02",8051.04
"1992-07-06",8625.29
"1992-07-07",9182.13
"1992-07-08",9008.12
"1992-07-09",8468.68
"1992-07-10",7946.64
"1992-07-13",8126.45
"1992-07-14",7830.63
"1992-07-15",7262.18
"1992-07-16",7117.17
"1992-07-17",7308.58
"1992-07-20",7343.39
"1992-07-21",7308.58
"1992-07-22",7871.23
"1992-07-23",7732.02
"1992-07-24",7755.22
"1992-07-27",8062.65
"1992-07-28",7569.61
"1992-07-29",7795.82
"1992-07-30",7830.63
"1992-07-31",7639.21
"1992-08-03",8022.04
"1992-08-04",7877.03
"1992-08-05",8016.24
"1992-08-06",8254.06
"1992-08-07",8085.85
"1992-08-10",8416.47
"1992-08-11",8752.9
"1992-08-12",8631.09
"1992-08-13",8897.91
"1992-08-14",8503.48
"1992-08-17",8474.48
"1992-08-18",8027.84
"1992-08-19",8323.67
"1992-08-20",8399.07
"1992-08-21",8706.5
"1992-08-24",9390.95
"1992-08-25",9060.32
"1992-08-26",8410.67
"1992-08-27",7923.43
"1992-08-28",7621.81
"1992-08-31",7877.03
"1992-09-01",7772.62
"1992-09-02",7383.99
"1992-09-03",7471
"1992-09-04",7529
"1992-09-08",7917.63
"1992-09-09",7749.42
"1992-09-10",7494.2
"1992-09-11",7233.18
"1992-09-14",7540.6
"1992-09-15",7906.03
"1992-09-16",8538.28
"1992-09-17",8300.46
"1992-09-18",7969.84
"1992-09-21",7801.62
"1992-09-22",8051.04
"1992-09-23",8022.04
"1992-09-24",7795.82
"1992-09-25",8584.69
"1992-09-28",8810.9
