"Date","SPYSIM","TLTSIM"
"1964-01-06",11381.46,10601.48
"1964-01-07",11386.08,10619.93
"1964-01-08",11434.26,10588.16
"1964-01-09",11477.93,10589.86
"1964-01-10",11473.54,10574.87
"1964-01-13",11472.15,10576.58
"1964-01-14",11494.79,10594.97
"1964-01-15",11538.46,10596.67
"1964-01-16",11526.55,10615.11
"1964-01-17",11529.67,10633.58
"1964-01-20",11508.75,10635.29
"1964-01-21",11541.91,10653.8
"1964-01-22",11605.1,10655.5
"1964-01-23",11615.73,10640.38
"1964-01-24",11620.34,10642.08
"1964-01-27",11617.45,10643.78
"1964-01-28",11622.07,10645.49
"1964-01-29",11553.08,10647.19
"1964-01-30",11565.21,10648.89
"1964-01-31",11617.89,10650.59
"1964-02-03",11608.99,10669.13
"1964-02-04",11597.08,10670.83
"1964-02-05",11579.17,10672.54
"1964-02-06",11607.82,10691.12
"1964-02-07",11646.98,10692.82
"1964-02-10",11629.07,10677.64
"1964-02-11",11672.74,10679.34
"1964-02-12",11710.4,10681.04
"1964-02-13",11704.5,10699.64
"1964-02-14",11700.1,10701.34
"1964-02-17",11698.71,10703.04
"1964-02-18",11701.82,10704.75
"1964-02-19",11715.45,10689.55
"1964-02-20",11727.58,10691.26
"1964-02-24",11738.2,10676.09
"1964-02-25",11739.81,10677.8
"1964-02-26",11769.96,10679.51
"1964-02-27",11734.02,10664.37
"1964-02-28",11762.67,10666.08
"1964-03-02",11789.81,10667.79
"1964-03-03",11828.97,10669.5
"1964-03-04",11808.06,10671.21
"1964-03-05",11808.17,10672.92
"1964-03-06",11847.32,10674.64
"1964-03-09",11851.94,10676.35
"1964-03-10",11892.6,10661.24
"1964-03-11",11948.28,10662.95
"1964-03-12",11969.41,10647.87
"1964-03-13",11980.03,10649.59
"1964-03-16",11981.65,10651.3
"1964-03-17",12010.29,10653.02
"1964-03-18",12020.91,10621.24
"1964-03-19",12010.51,10622.96
"1964-03-20",11953.77,10607.98
"1964-03-23",11956.66,10609.7
"1964-03-24",11936.83,10594.76
"1964-03-25",11966.99,10596.48
"1964-03-26",12000.18,10598.2
"1964-03-30",11993.98,10599.93
"1964-03-31",11971.13,10618.33
"1964-04-01",12011.88,10620.05
"1964-04-02",12082.93,10621.78
"1964-04-03",12120.66,10590.17
"1964-04-06",12134.16,10591.9
"1964-04-07",12093.13,10610.28
"1964-04-08",12096.02,10628.69
"1964-04-09",12089.82,10630.42
"1964-04-10",12113.92,10632.14
"1964-04-13",12103.18,10617.17
"1964-04-14",12137.88,10635.6
"1964-04-15",12154.4,10637.33
"1964-04-16",12172.44,10655.79
"1964-04-17",12226.83,10657.52
"1964-04-20",12220.63,10659.24
"1964-04-21",12228.07,10660.97
"1964-04-22",12221.87,10662.7
"1964-04-23",12206.59,10664.42
"1964-04-24",12112.55,10649.39
"1964-04-27",12053.35,10651.12
"1964-04-28",12138.02,10652.85
"1964-04-29",12109.11,10654.58
"1964-04-30",12074.14,10656.31
"1964-05-01",12183.05,10658.04
"1964-05-04",12229.86,10676.54
"1964-05-05",12293.33,10678.27
"1964-05-06",12321.97,10680
"1964-05-07",12336.98,10681.73
"1964-05-08",12315.63,10700.27
"1964-05-11",12301.87,10702
"1964-05-12",12342.62,10720.59
"1964-05-13",12315.22,10722.31
"1964-05-14",12299.94,10740.94
"1964-05-15",12337.66,10742.67
"1964-05-18",12281.49,10761.33
"1964-05-19",12219.26,10780.04
"1964-05-20",12275.16,10764.78
"1964-05-21",12318.94,10766.51
"1964-05-22",12288.51,10785.22
"1964-05-25",12264.14,10786.95
"1964-05-26",12239.78,10788.67
"1964-05-27",12221.47,10790.4
"1964-05-28",12239.5,10792.12
"1964-06-01",12201.5,10793.85
"1964-06-02",12140.79,10795.57
"1964-06-03",12110.36,10797.3
